store_item,LightGBM_full,XGBoost_full,LightGBM_no_weather,XGBoost_no_weather,LightGBM_no_calendar,XGBoost_no_calendar,LightGBM_no_promotion,XGBoost_no_promotion
4_26,0.6198124909660286,0.6480967947576213,0.618923535035623,0.6574262165064108,0.7128030804604232,0.7079530416764088,0.6415324432795414,0.6964503410948519
4_27,0.7053918900858276,0.7317999562853504,0.7048852501336528,0.7343331836594438,0.7869696870107917,0.7848571171589253,0.7117514931031957,0.7967035840556196
4_28,0.7368618789596448,0.7789960525495776,0.7691887272438176,0.8184111176891038,0.8287614231485689,0.8137485235815214,0.7007348240694253,0.795459162510293
4_29,0.7299948837116088,0.7501985138256055,0.7484923695119354,0.7989937782284404,0.7653598186207659,0.7569531855981873,0.723614381201139,0.8261027732806634
4_3,0.6350359558571562,0.6612810305892655,0.6317070694571019,0.6723500977480543,0.7244575573987169,0.7281303574789741,0.6447340587119681,0.6619665042265672
4_30,0.6944215036298208,0.7750286602929043,0.700835223996897,0.8237038236271003,0.7612060160042211,0.7717409853904893,0.692028737811661,0.822490716843285
4_4,0.7224126072511817,0.754321179476503,0.7255528425025763,0.7770806428149792,0.7633102115920876,0.7715715006246275,0.745271678928094,0.7885489323318142
4_5,0.6583054393166087,0.7002266266277325,0.6681269532953008,0.7179908464243965,0.7716064229397066,0.744963204057224,0.6504784141033054,0.7128950408394324
4_6,0.6022383349205642,0.639327324820136,0.606472174113493,0.6594346255054326,0.6489244123419117,0.6526284925858676,0.61078857176194,0.678604331835427
4_7,0.975837340874832,1.0798535199610464,0.9703268008485875,1.0654324036354903,1.0218772922316992,1.0411879430778601,1.0079112774441064,1.0952042542463554
4_8,0.5103396626516679,0.530177947059218,0.5176950784064671,0.5371770904851689,0.627853422216886,0.6242431403065224,0.5111281990400534,0.5238217681720153
4_9,0.8673444310130068,0.8977344920431559,0.8867587432834759,0.9282744988222082,1.0008624565774786,1.0311991265539462,0.9139585510173247,0.9788173350131946
5_1,0.7099089286799188,0.7565595353416569,0.7219616173471847,0.7630345509048064,0.821534242798664,0.8143750067523439,0.7068323052697799,0.7510800097465343
5_10,0.8185295261260113,0.8633652925149875,0.8692824334133229,0.8648391340383693,0.8779790367617809,0.8961529675402001,0.825745029658619,0.9377752447927784
5_11,0.6773251928310602,0.7187326470874579,0.690347483900834,0.7275561943420829,0.7297086553295784,0.7273135791485057,0.6841433861396343,0.7489042319801955
5_12,0.6512502130681086,0.6860313506625711,0.6522455526977724,0.6977086815186357,0.740041748932109,0.7436784020527553,0.6622299994606011,0.7308953884856579
5_13,1.041501678900842,1.0689141003986073,1.052351379473448,1.0739996322713785,1.0409218868232641,1.0282889847324546,1.125137212316403,1.1098444477152063
5_14,0.755834325974209,0.8429488563318749,0.8042284767075099,0.8803759731054509,0.8529815810481962,0.8567547799095074,0.7923168506534635,0.8773188099765593
5_15,0.8912502723831903,1.0085248481919036,1.0057813992931863,1.043073415393365,1.0139582255668695,1.0067690260929385,0.8899548148404298,1.025807193149661
5_16,0.6465897859847501,0.7148409155811108,0.6651797153652821,0.7460713767333256,0.7412764559857012,0.7522747223214049,0.6850360093116519,0.7967231899553511
5_17,0.6411725998296998,0.6721221328103826,0.6368762681499225,0.6895107813940141,0.6863374325118194,0.6880624039731685,0.6496475899032045,0.7033544930803232
5_18,0.9033758893446094,0.9874870408189997,0.960638166541354,1.0274234979921142,0.9578276032366584,0.9808699247852454,0.9456831005958399,1.0577014578706587
5_19,0.8807263630395545,0.9426716953044106,0.8423345423183658,0.9555844722224889,0.9041979069433148,1.0012827713124115,0.9206059896248532,1.0389424815002655
5_2,0.6490930972302059,0.6809705311242794,0.6572666972276205,0.6905116187088193,0.720492858450401,0.72970616151652,0.6576987491406201,0.7252517303984543
5_20,0.5712838974603848,0.5698222835492294,0.5520208095086486,0.5865227823562619,0.6350568252560337,0.6371396528644266,0.5773209512910298,0.6325064258134021
5_21,0.4996296159108327,0.5577716304839568,0.4966594128100658,0.5670686514916317,0.596838893336818,0.58714107720715,0.511082217454612,0.5816990913335178
5_22,0.6869346936956113,0.7321768569752181,0.7049331601940769,0.7589778484597263,0.7621472245442161,0.7510140240665949,0.721117770111178,0.8725269226326797
5_23,0.6438909987299685,0.6733731408507259,0.6539881948299223,0.6927767509109424,0.7705374019124911,0.7852779579196415,0.6591527864648364,0.7052840623554802
5_24,0.6027525552272489,0.6306507712380965,0.6087442883923483,0.6496121447909821,0.6971106352110356,0.6862875085576055,0.597724509852537,0.6832234865361614
5_25,0.7712041931421649,0.8315040179665141,0.7900263483780721,0.8499208818773125,0.8335760182565705,0.8429944762709632,0.7919534691461044,0.8980596568304611
5_26,0.6199241343883715,0.6825659659627874,0.6228167516368294,0.7172410845230537,0.698487504468438,0.7041473664252097,0.6244690508851531,0.7241274475878678
5_27,0.6305032103332223,0.6518457019583836,0.6265430153790302,0.6767366462158677,0.6998186397476446,0.6873605566517299,0.6796755207252331,0.7554483036363414
5_28,0.9344976680412941,0.9906382210473532,0.9887423693835302,1.0443363156137517,1.0029017705877734,0.9673520585873283,0.9529234281597652,1.1012392503171229
5_29,0.7354583758637121,0.7968080695754703,0.7529310034628424,0.8673680507044478,0.7764857584121537,0.7871190869059217,0.7322173684440081,0.8603738514422087
5_3,0.6471469774504343,0.6689293070019604,0.6345941866193806,0.6745864483268852,0.7030101872952411,0.7356516225514318,0.6361046123025323,0.6639005827374279
5_30,0.6672618066615519,0.76017798321183,0.6809929158120512,0.8186094409221861,0.7070527694918258,0.6976492233583371,0.6828117063597099,0.8083223414255498
5_4,0.666337857327649,0.7079144203876273,0.6734303650586109,0.7381445077310662,0.6885517080285848,0.6855605064705992,0.6822302665074949,0.7376393178154876
5_5,0.7046599874247302,0.7374559099786413,0.712869496166979,0.7339688902220901,0.7873920538223174,0.7870039086590414,0.7043628067410465,0.7519847535458106
5_6,0.7151922853965488,0.7620426944185171,0.7166403754268109,0.8100863178965599,0.744574976197502,0.7536143678863277,0.7104574612783393,0.8138231666635214
5_7,1.241837702450212,1.2811454181573059,1.2476738402553418,1.3093095711870428,1.348178165395705,1.3214883752239663,1.2552716629619294,1.3124898486196588
5_8,0.6005511574417053,0.6145300179393899,0.6046151547208961,0.6150665405016977,0.657750384772709,0.6576303259219858,0.6039014356612088,0.6145573745718027
5_9,0.9032004784533513,0.9102982748503903,0.9605336203892136,0.9241589140755159,0.9651628597791896,0.9864429462112547,0.9266242939616431,0.9753100006939502
6_1,0.691146008644421,0.7286627869012889,0.7022802921194419,0.7375763046584749,0.736933657259777,0.7442066169098954,0.6941928925308621,0.7536412457439752
6_10,0.978283287316788,1.0667189013960245,1.0643606514438235,1.0785172036907813,1.0049338284264766,1.0443413223461304,0.9594054000138752,1.0863141209025102
6_11,0.5957483359016669,0.6334224768136493,0.5952220390019972,0.6553728222875114,0.6460349841570253,0.6469856269635484,0.6001487747586571,0.6590593478678594
6_12,0.5948138995492942,0.6425965058830313,0.6095251765353497,0.6637357424225889,0.6540498603719804,0.6510744266197671,0.5839245836511604,0.6697473851506469
6_13,0.8358688468248883,0.9794565735871485,0.9159597648130583,0.9881430524314515,0.9105185061346446,0.9439953621777504,0.8984898291122291,0.9849172583010697
6_14,0.7937941153725875,0.7954940813563846,0.8213320686899372,0.815758322354981,0.8902897260427682,0.8686443738497288,0.7692215474984161,0.8249193009796297
6_15,0.7298648816906377,0.8409458793079677,0.8115144985321389,0.9098572461715387,0.88674666971161,0.8973325558178035,0.7128190415226681,0.9135785150519615
6_16,0.5695367818293159,0.6690046275103364,0.5947733035834138,0.7508812245646762,0.6296707691780511,0.6379993278960413,0.5790401131496355,0.7672688136411832
6_17,0.761009460455524,0.7922670872161509,0.7650897484138056,0.8184406065150424,0.784480487741113,0.7777011100095161,0.7711178992728065,0.8479931003322229
6_18,0.7486512174027528,0.8439490896688173,0.8036842705823145,0.8722652000334298,0.8262895358949235,0.8391358058732897,0.7866878248823077,0.8821315407407332
6_19,0.9746019205346468,1.053020135064436,0.9895224321828207,1.096953675596647,1.1305569690835187,1.1900540223367715,1.0410407834854758,1.1106836594989888
6_2,0.627187652757695,0.6634282789824675,0.6252506555516184,0.6690342445787447,0.687697359176684,0.6989315057398848,0.6387302151784471,0.7439736437036515
6_20,0.5266008334402543,0.5521913782941467,0.5344065897940034,0.5519524303467396,0.6009310804406446,0.6129843705072305,0.5291242621471924,0.578921505686919
6_21,0.7475685859683726,0.7859783128737257,0.7532358693488278,0.8118568378483985,0.8239098281613454,0.8304712853942232,0.7572045449077214,0.8260251622989961
6_22,0.6099733512580311,0.6481675658015659,0.6227424517229426,0.6676105106288076,0.6997436954885567,0.6968488173780518,0.6181570665618314,0.6466668242397332
6_23,0.647884912681944,0.7148968238908596,0.6475633319621569,0.7256738757646529,0.8001153863588719,0.8169649324449455,0.6699357398887829,0.7715679473393287
6_24,0.6321049747983163,0.6949128109119106,0.6347730579318508,0.703782027574615,0.7487321291501517,0.7544417206219756,0.6338962379817602,0.6814863548767491
6_25,0.8239379061177121,0.9188967401821133,0.8564599270445562,0.9504128664392827,0.8840069093383869,0.8955853548047203,0.8545994046256823,0.9742208985783106
6_26,0.5402609276530133,0.5794680187211463,0.5467673207441699,0.6096737488561454,0.603009443350404,0.5978463526481638,0.550199887218232,0.626677768626219
6_27,0.6766090126318378,0.7369872863912381,0.6763400714436892,0.7699182445161998,0.7041463179459914,0.711428720390475,0.6808697276042461,0.7741914474997439
6_28,0.8680321773920221,0.934447585566297,0.9090183261707726,1.0038148935578102,0.9214535393160711,0.896358408401412,0.8349994479633082,0.9669382404915542
6_29,0.7914749467911434,0.8536201962273444,0.806805257750209,0.9556630350145805,0.830364979802644,0.8342887568618494,0.7896449750117885,0.912952291662675
6_3,0.7136383164888088,0.7048240458836378,0.7338203165107,0.6850954409702125,0.7727796974700794,0.7819424697055691,0.6663966680322903,0.6972000748469012
6_30,0.6297735858517551,0.7705787341294836,0.6467329526063841,0.8642037816211877,0.6665868076162447,0.6621408572175269,0.6298968762103134,0.8403411559941498
6_4,0.6058863420994656,0.6834401372606648,0.6065424347895886,0.7516259707973914,0.6197458606949963,0.6122532176342869,0.6206543226880322,0.7374223250470715
6_5,0.7170136184673837,0.7664907866511961,0.7330422148354107,0.784187168590591,0.7824336413390883,0.7602183188996623,0.7225315886841343,0.7926814317637353
